0,0,0,,,,,,,,
1,101,,,,,16:06:43.4,,16:06:43.4,,,,,,,16:06:43.4,16:06:43.4,,
81,140,,,,,16:16:34.8,,9:51.4,,,,,,,15.3,15.3,,
82,140+,,,,,16:16:34.9,,9:51.5,,,,,,,0.1,0.1,,
83,141,,,,,16:16:56.7,,10:13.3,,,,,,,21.8,21.8,,
84,141+,,,,,16:16:56.9,,10:13.5,,,,,,,0.2,0.2,,
85,142,,,,,16:17:12.0,,10:28.6,,,,,,,15.1,15.1,,
86,142+,,,,,16:17:12.2,,10:28.8,,,,,,,0.2,0.2,,
87,143,,,,,16:17:34.7,,10:51.3,,,,,,,22.5,22.5,,
88,143+,,,,,16:17:35.0,,10:51.6,,,,,,,0.3,0.3,,
89,144,,,,,16:17:47.5,,11:04.1,,,,,,,12.5,12.5,,
90,144+,,,,,16:17:47.6,,11:04.2,,,,,,,0.1,0.1,,
91,145+,,,,,16:18:33.8,,11:50.4,,,,,,,46.2,46.2,,
92,145,,,,,16:18:33.8,,11:50.4,,,,,,,0.0,0.0,,
93,146,,,,,16:18:37.5,,11:54.1,,,,,,,3.7,3.7,,
94,146+,,,,,16:18:37.8,,11:54.4,,,,,,,0.3,0.3,,
95,147,,,,,16:19:12.9,,12:29.5,,,,,,,35.1,35.1,,
96,147+,,,,,16:19:13.0,,12:29.6,,,,,,,0.1,0.1,,
97,148,,,,,16:19:16.6,,12:33.2,,,,,,,3.6,3.6,,
98,148+,,,,,16:19:16.8,,12:33.4,,,,,,,0.2,0.2,,
99,149,,,,,16:19:51.1,,13:07.7,,,,,,,34.3,34.3,,
100,149+,,,,,16:19:51.2,,13:07.8,,,,,,,0.1,0.1,,
101,150,,,,,16:19:57.9,,13:14.5,,,,,,,6.7,6.7,,
102,150+,,,,,16:19:58.1,,13:14.7,,,,,,,0.2,0.2,,
103,151,,,,,16:20:32.1,,13:48.7,,,,,,,34.0,34.0,,
104,151+,,,,,16:20:32.2,,13:48.8,,,,,,,0.1,0.1,,
105,152,,,,,16:20:36.0,,13:52.6,,,,,,,3.8,3.8,,
106,152+,,,,,16:20:36.3,,13:52.9,,,,,,,0.3,0.3,,
107,153,,,,,16:21:07.6,,14:24.2,,,,,,,31.3,31.3,,
108,153+,,,,,16:21:07.7,,14:24.3,,,,,,,0.1,0.1,,
109,154,,,,,16:21:13.7,,14:30.3,,,,,,,6.0,6.0,,
110,154+,,,,,16:21:13.9,,14:30.5,,,,,,,0.2,0.2,,
111,155,,,,,16:21:44.3,,15:00.9,,,,,,,30.4,30.4,,
112,155+,,,,,16:21:44.4,,15:01.0,,,,,,,0.1,0.1,,
113,156,,,,,16:21:51.9,,15:08.5,,,,,,,7.5,7.5,,
114,156+,,,,,16:21:52.1,,15:08.7,,,,,,,0.2,0.2,,
115,157,,,,,16:22:20.9,,15:37.5,,,,,,,28.8,28.8,,
116,157+,,,,,16:22:21.1,,15:37.7,,,,,,,0.2,0.2,,
117,158,,,,,16:22:29.1,,15:45.7,,,,,,,8.0,8.0,,
118,158+,,,,,16:22:29.4,,15:46.0,,,,,,,0.3,0.3,,
119,159,,,,,16:23:01.3,,16:17.9,,,,,,,31.9,31.9,,
120,159+,,,,,16:23:01.4,,16:18.0,,,,,,,0.1,0.1,,
121,160,,,,,16:23:04.1,,16:20.7,,,,,,,2.7,2.7,,
122,160+,,,,,16:23:04.3,,16:20.9,,,,,,,0.2,0.2,,
